timestamp,date_GMT,status,attendance,home_team_name,away_team_name,referee,Game Week,Pre-Match PPG (Home),Pre-Match PPG (Away),home_ppg,away_ppg,home_team_goal_count,away_team_goal_count,total_goal_count,total_goals_at_half_time,home_team_goal_count_half_time,away_team_goal_count_half_time,home_team_goal_timings,away_team_goal_timings,home_team_corner_count,away_team_corner_count,home_team_yellow_cards,home_team_red_cards,away_team_yellow_cards,away_team_red_cards,home_team_first_half_cards,home_team_second_half_cards,away_team_first_half_cards,away_team_second_half_cards,home_team_shots,away_team_shots,home_team_shots_on_target,away_team_shots_on_target,home_team_shots_off_target,away_team_shots_off_target,home_team_fouls,away_team_fouls,home_team_possession,away_team_possession,team_a_xg,team_b_xg,average_goals_per_match_pre_match,btts_percentage_pre_match,over_15_percentage_pre_match,over_25_percentage_pre_match,over_35_percentage_pre_match,over_45_percentage_pre_match,over_15_HT_FHG_percentage_pre_match,over_05_HT_FHG_percentage_pre_match,over_15_2HG_percentage_pre_match,over_05_2HG_percentage_pre_match,average_corners_per_match_pre_match,average_cards_per_match_pre_match,odds_ft_home_team_win,odds_ft_draw,odds_ft_away_team_win,odds_ft_over15,odds_ft_over25,odds_ft_over35,odds_ft_over45,odds_btts_yes,odds_btts_no,stadium_name
1535220000,Aug 25 2018 - 6:00pm,complete,11746,Toulouse,Nîmes,Frank Schneider,3,3.00,3.00,1.11,1.11,1,0,1,0,0,0,"80","",3,3,1,0,3,0,0,1,1,2,10,7,6,0,4,7,17,21,62,38,1.44,0.86,5.00,100,100,100,50,50,50,100,100,100,2.00,3.00,2.37,3.47,3.09,1.26,1.83,3.10,6.00,1.69,2.05,Stadium de Toulouse (Toulouse)
1535288400,Aug 26 2018 - 1:00pm,complete,27230,Lille,Guingamp,Johan Hamel,3,3.00,0.00,2.26,0.58,3,0,3,2,2,0,"7,10,73","",4,4,2,0,1,1,0,2,0,2,12,11,8,5,4,6,13,13,48,52,1.52,1.49,3.50,100,100,100,50,0,50,100,100,100,11.00,2.00,2.05,3.57,3.79,1.29,1.91,3.30,6.30,1.80,1.91,Stade Pierre-Mauroy (Villeneuve d'Ascq)
1535295600,Aug 26 2018 - 3:00pm,complete,21607,Bordeaux,Monaco,Clément Turpin,3,0.00,3.00,1.42,0.95,2,1,3,0,0,0,"48,90'2","63",5,8,1,0,2,0,0,1,0,2,14,11,7,6,7,5,11,15,45,55,1.66,1.40,3.00,50,100,50,50,0,0,0,100,100,5.00,3.00,2.81,3.48,2.56,1.29,1.91,3.30,6.50,1.74,1.95,Stade Matmut-Atlantique (Bordeaux)
1535310000,Aug 26 2018 - 7:00pm,complete,53471,Olympique Marseille,Rennes,Antony Gautier,3,3.00,0.00,1.95,1.11,2,2,4,2,0,2,"54,72","38,45'1",8,4,1,0,1,0,1,0,0,1,8,6,4,3,4,3,16,15,63,37,1.22,0.81,4.00,50,100,100,100,0,50,100,100,100,11.00,1.00,1.63,4.14,5.66,1.20,1.67,2.70,4.75,1.80,1.87,Orange Vélodrome (Marseille)
1535741100,Aug 31 2018 - 6:45pm,complete,53438,Olympique Lyonnais,Nice,François Letexier,4,3.00,1.00,2.11,1.16,0,1,1,0,0,0,"","50",10,5,0,0,2,0,0,0,2,0,27,5,10,2,17,3,6,14,57,43,2.91,0.71,2.00,50,100,0,0,0,0,50,50,100,17.50,2.50,1.44,4.77,7.62,1.16,1.56,2.40,4.50,1.83,1.87,Groupama Stadium (Décines-Charpieu)
1535814000,Sep 01 2018 - 3:00pm,complete,15311,Nîmes,PSG,Jérôme Brisard,4,3.00,3.00,1.68,2.00,2,4,6,2,0,2,"63,71","36,40,77,90'2",3,4,1,1,3,1,1,1,1,3,12,7,7,6,5,1,12,11,38,62,1.63,1.10,4.00,100,100,100,100,0,0,100,100,100,13.00,4.00,9.99,7.09,1.24,1.10,1.38,1.95,3.00,1.83,1.87,Stade des Costières (Nîmes)
1535824800,Sep 01 2018 - 6:00pm,complete,9245,Angers SCO,Lille,Eric Wattellier,4,0.00,1.00,1.26,1.68,1,0,1,0,0,0,"60","",4,5,0,1,1,0,0,1,0,1,5,12,4,5,1,7,14,8,31,69,0.87,1.45,3.50,50,50,50,50,50,50,50,50,50,9.00,5.00,2.28,3.42,3.30,1.37,2.15,3.95,7.80,1.91,1.80,Stade Raymond-Kopa (Angers)
1535824800,Sep 01 2018 - 6:00pm,complete,13382,Dijon,Caen,Nicolas Rainville,4,3.00,0.50,1.16,0.84,0,2,2,1,0,1,"","21,90'4",8,5,0,0,3,0,0,0,1,2,12,9,3,5,9,4,11,13,62,38,1.33,1.17,2.25,25,100,25,0,0,25,100,0,100,5.00,1.50,2.13,3.50,3.61,1.33,2.05,3.70,7.20,1.95,1.77,Stade Gaston-Gérard (Dijon)
1535824800,Sep 01 2018 - 6:00pm,complete,12327,Guingamp,Toulouse,Karim Abed,4,0.00,0.00,0.84,0.89,1,2,3,3,1,2,"45","2,12",11,4,3,0,1,1,1,2,2,0,19,6,6,5,13,1,12,13,59,41,2.36,0.95,4.00,50,100,100,100,0,0,100,100,100,5.00,3.00,2.12,3.48,3.64,1.30,1.95,3.40,6.85,1.80,1.91,Stade du Roudourou (Guingamp)
1535824800,Sep 01 2018 - 6:00pm,complete,12042,Reims,Montpellier,Jeremy Stinat,4,3.00,3.00,1.63,1.42,0,1,1,0,0,0,"","77",5,5,0,0,0,0,0,0,0,0,17,10,8,4,9,6,11,11,56,44,2.09,1.18,2.00,50,50,50,0,0,0,50,50,50,2.00,5.00,2.57,3.22,3.01,1.50,2.50,5.00,9.70,2.10,1.65,Stade Auguste-Delaune II (Reims)
